Pos,ID,Name,BV,SV,Team,32_xMins,33_xMins,34_xMins,35_xMins,36_xMins,37_xMins,38_xMins,32_eo,33_eo,34_eo,35_eo,36_eo,37_eo,38_eo
M,158,Georginio,5.6,5.6,Brighton,25.65,58.20,0.00,25.65,25.65,25.65,25.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,159,March,5.8,5.8,Brighton,3.00,6.00,0.00,3.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,160,Minteh,5.5,5.5,Brighton,32.10,61.50,0.00,32.10,32.10,32.10,32.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,163,Hinshelwood,5.1,5.1,Brighton,72.30,141.75,0.00,72.30,72.30,72.30,72.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,164,O'Riley,5.5,5.5,Brighton,3.75,7.50,0.00,3.75,3.75,3.75,3.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,166,Ayari,4.8,4.8,Brighton,30.30,63.75,0.00,30.30,30.30,30.30,30.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,167,Baleba,4.5,4.5,Brighton,33.90,63.60,0.00,33.90,33.90,33.90,33.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,168,Buonanotte,4.6,4.6,Leeds United,4.50,14.70,0.00,4.50,4.50,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,169,Gomez,4.9,4.9,Brighton,71.70,143.40,0.00,71.70,71.70,71.70,71.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,170,Milner,4.9,4.9,Brighton,35.10,69.30,0.00,35.10,35.10,35.10,35.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,173,Wieffer,4.9,4.9,Brighton,80.70,158.85,0.00,80.70,80.70,80.70,80.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,178,Welbeck,6.2,6.2,Brighton,72.60,145.20,0.00,72.60,72.60,72.60,72.60,0.02,0.01,0.00,0.00,0.00,0.02,0.01
F,180,Tzimas,5.2,5.2,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,181,Kostoulas,4.8,4.8,Brighton,19.80,39.60,0.00,19.80,19.80,19.80,19.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,182,Trafford,4.5,4.5,Man City,1.80,2.70,0.00,1.80,2.70,1.80,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,183,Weiss,4.3,4.3,Burnley,0.90,1.80,0.00,0.90,0.90,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,185,Hladký,3.9,3.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,186,Roberts,4.3,4.3,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
