id,isResult,h,a,goals,xG,datetime,forecast,season,league
1365,True,"{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '2', 'a': '3'}","{'h': '1.73915', 'a': '1.73598'}",2016-09-24 17:30:00,"{'w': '0.3739', 'd': '0.2838', 'l': '0.3423'}",2016,Bundesliga
1366,True,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '0', 'a': '1'}","{'h': '0.304936', 'a': '2.12276'}",2016-09-24 17:30:00,"{'w': '0.029', 'd': '0.1134', 'l': '0.8576'}",2016,Bundesliga
1367,True,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'h': '1', 'a': '0'}","{'h': '1.95473', 'a': '0.129868'}",2016-09-24 17:30:00,"{'w': '0.8515', 'd': '0.1311', 'l': '0.0174'}",2016,Bundesliga
1368,True,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '3', 'a': '3'}","{'h': '1.50633', 'a': '1.17158'}",2016-09-24 17:30:00,"{'w': '0.4497', 'd': '0.3115', 'l': '0.2388'}",2016,Bundesliga
1369,True,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '2', 'a': '1'}","{'h': '1.11466', 'a': '0.483419'}",2016-09-24 20:30:00,"{'w': '0.5262', 'd': '0.3275', 'l': '0.1463'}",2016,Bundesliga
1370,True,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '2', 'a': '1'}","{'h': '1.8649', 'a': '1.04708'}",2016-09-25 17:30:00,"{'w': '0.5902', 'd': '0.2602', 'l': '0.1496'}",2016,Bundesliga
1371,True,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '1', 'a': '1'}","{'h': '0.366844', 'a': '0.819612'}",2016-09-25 19:45:00,"{'w': '0.1435', 'd': '0.3803', 'l': '0.4762'}",2016,Bundesliga
1372,True,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '2', 'a': '1'}","{'h': '1.04258', 'a': '0.313816'}",2016-09-30 22:30:00,"{'w': '0.5518', 'd': '0.3416', 'l': '0.1066'}",2016,Bundesliga
1373,True,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '1', 'a': '1'}","{'h': '2.20563', 'a': '0.899194'}",2016-10-01 17:30:00,"{'w': '0.7062', 'd': '0.1894', 'l': '0.1044'}",2016,Bundesliga
1374,True,"{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '2', 'a': '0'}","{'h': '2.44266', 'a': '1.11245'}",2016-10-01 17:30:00,"{'w': '0.7239', 'd': '0.1702', 'l': '0.1059'}",2016,Bundesliga
