id,isResult,h,a,goals,xG,datetime,forecast,season,league
9613,True,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '1', 'a': '0'}","{'h': '1.31657', 'a': '0.346689'}",2018-09-15 16:00:00,"{'w': '0.6372', 'd': '0.2734', 'l': '0.0894'}",2018,Serie_A
9609,True,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '0', 'a': '5'}","{'h': '0.413989', 'a': '2.54241'}",2018-09-15 18:30:00,"{'w': '0.013', 'd': '0.0651', 'l': '0.9219'}",2018,Serie_A
9614,True,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '2', 'a': '2'}","{'h': '2.72023', 'a': '1.17626'}",2018-09-16 10:30:00,"{'w': '0.7444', 'd': '0.1662', 'l': '0.0894'}",2018,Serie_A
9610,True,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '1', 'a': '0'}","{'h': '0.488376', 'a': '0.667504'}",2018-09-16 13:00:00,"{'w': '0.2284', 'd': '0.4207', 'l': '0.3509'}",2018,Serie_A
9612,True,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '2', 'a': '1'}","{'h': '2.8507', 'a': '0.740742'}",2018-09-16 13:00:00,"{'w': '0.8799', 'd': '0.0887', 'l': '0.0314'}",2018,Serie_A
9616,True,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '1', 'a': '1'}","{'h': '0.265642', 'a': '0.671125'}",2018-09-16 13:00:00,"{'w': '0.1298', 'd': '0.4629', 'l': '0.4073'}",2018,Serie_A
9608,True,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '0', 'a': '1'}","{'h': '1.4909', 'a': '2.74301'}",2018-09-16 16:00:00,"{'w': '0.133', 'd': '0.1917', 'l': '0.6753'}",2018,Serie_A
9607,True,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '1', 'a': '1'}","{'h': '0.433382', 'a': '2.48751'}",2018-09-16 18:30:00,"{'w': '0.0266', 'd': '0.1027', 'l': '0.8707'}",2018,Serie_A
9615,True,"{'id': '221', 'title': 'SPAL 2013', 'short_title': 'SPL'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '2', 'a': '0'}","{'h': '1.79209', 'a': '0.789043'}",2018-09-17 18:30:00,"{'w': '0.6684', 'd': '0.2198', 'l': '0.1118'}",2018,Serie_A
9580,True,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '1', 'a': '1'}","{'h': '0.456027', 'a': '1.70735'}",2018-09-19 17:00:00,"{'w': '0.0802', 'd': '0.2057', 'l': '0.7141'}",2018,Serie_A
9625,True,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '3', 'a': '1'}","{'h': '2.09666', 'a': '1.03797'}",2018-09-21 18:30:00,"{'w': '0.6634', 'd': '0.2038', 'l': '0.1328'}",2018,Serie_A
9623,True,"{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '2', 'a': '0'}","{'h': '2.04058', 'a': '0.719329'}",2018-09-22 13:00:00,"{'w': '0.718', 'd': '0.1798', 'l': '0.1022'}",2018,Serie_A
9619,True,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '221', 'title': 'SPAL 2013', 'short_title': 'SPL'}","{'h': '3', 'a': '0'}","{'h': '1.71696', 'a': '0.722731'}",2018-09-22 16:00:00,"{'w': '0.6331', 'd': '0.2492', 'l': '0.1177'}",2018,Serie_A
9624,True,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '1'}","{'h': '0.399584', 'a': '0.802538'}",2018-09-22 18:30:00,"{'w': '0.1688', 'd': '0.4032', 'l': '0.428'}",2018,Serie_A
9626,True,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '3'}","{'h': '1.08641', 'a': '2.35831'}",2018-09-23 10:30:00,"{'w': '0.0892', 'd': '0.1906', 'l': '0.7202'}",2018,Serie_A
9617,True,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '2', 'a': '0'}","{'h': '0.885381', 'a': '3.20497'}",2018-09-23 13:00:00,"{'w': '0.0297', 'd': '0.0841', 'l': '0.8862'}",2018,Serie_A
9618,True,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '0', 'a': '2'}","{'h': '1.57505', 'a': '1.11577'}",2018-09-23 13:00:00,"{'w': '0.4884', 'd': '0.263', 'l': '0.2486'}",2018,Serie_A
9621,True,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '4', 'a': '1'}","{'h': '2.81099', 'a': '0.670444'}",2018-09-23 13:00:00,"{'w': '0.8694', 'd': '0.0977', 'l': '0.0329'}",2018,Serie_A
9622,True,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '2', 'a': '2'}","{'h': '2.35124', 'a': '2.08573'}",2018-09-23 16:00:00,"{'w': '0.4404', 'd': '0.2402', 'l': '0.3194'}",2018,Serie_A
9620,True,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '0', 'a': '2'}","{'h': '0.0629851', 'a': '2.91794'}",2018-09-23 18:30:00,"{'w': '0.0013', 'd': '0.0329', 'l': '0.9658'}",2018,Serie_A
9631,True,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '2', 'a': '1'}","{'h': '1.85911', 'a': '1.78872'}",2018-09-25 19:00:00,"{'w': '0.3781', 'd': '0.2808', 'l': '0.3411'}",2018,Serie_A
9636,True,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '1', 'a': '2'}","{'h': '0.842878', 'a': '1.50332'}",2018-09-26 17:00:00,"{'w': '0.1712', 'd': '0.2708', 'l': '0.558'}",2018,Serie_A
9627,True,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '0', 'a': '0'}","{'h': '0.672669', 'a': '0.22405'}",2018-09-26 19:00:00,"{'w': '0.4225', 'd': '0.4698', 'l': '0.1077'}",2018,Serie_A
9628,True,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '0', 'a': '0'}","{'h': '0.952392', 'a': '2.25181'}",2018-09-26 19:00:00,"{'w': '0.0921', 'd': '0.1803', 'l': '0.7276'}",2018,Serie_A
9630,True,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '2', 'a': '0'}","{'h': '1.61873', 'a': '1.60245'}",2018-09-26 19:00:00,"{'w': '0.3799', 'd': '0.2668', 'l': '0.3533'}",2018,Serie_A
9632,True,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '2', 'a': '0'}","{'h': '0.851257', 'a': '0.325971'}",2018-09-26 19:00:00,"{'w': '0.4804', 'd': '0.3835', 'l': '0.1361'}",2018,Serie_A
9633,True,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'h': '3', 'a': '0'}","{'h': '2.8594', 'a': '0.0851875'}",2018-09-26 19:00:00,"{'w': '0.9632', 'd': '0.0345', 'l': '0.0023'}",2018,Serie_A
9634,True,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'h': '4', 'a': '0'}","{'h': '2.53238', 'a': '0.48896'}",2018-09-26 19:00:00,"{'w': '0.899', 'd': '0.083', 'l': '0.018'}",2018,Serie_A
9635,True,"{'id': '221', 'title': 'SPAL 2013', 'short_title': 'SPL'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '0', 'a': '2'}","{'h': '1.02425', 'a': '2.08628'}",2018-09-27 17:00:00,"{'w': '0.0928', 'd': '0.2163', 'l': '0.6909'}",2018,Serie_A
9629,True,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '1', 'a': '1'}","{'h': '1.1773', 'a': '1.52902'}",2018-09-27 19:00:00,"{'w': '0.2745', 'd': '0.302', 'l': '0.4235'}",2018,Serie_A
9637,True,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '3', 'a': '1'}","{'h': '2.45713', 'a': '0.885573'}",2018-09-29 13:00:00,"{'w': '0.7581', 'd': '0.1567', 'l': '0.0852'}",2018,Serie_A
9646,True,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '3', 'a': '1'}","{'h': '3.04531', 'a': '1.42452'}",2018-09-29 16:00:00,"{'w': '0.7681', 'd': '0.1496', 'l': '0.0823'}",2018,Serie_A
9644,True,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '2', 'a': '0'}","{'h': '1.05314', 'a': '0.144417'}",2018-09-29 18:30:00,"{'w': '0.639', 'd': '0.3199', 'l': '0.0411'}",2018,Serie_A
9640,True,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '2', 'a': '1'}","{'h': '1.36167', 'a': '0.997014'}",2018-09-30 10:30:00,"{'w': '0.4518', 'd': '0.2949', 'l': '0.2533'}",2018,Serie_A
9641,True,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '0', 'a': '1'}","{'h': '0.315367', 'a': '1.48485'}",2018-09-30 13:00:00,"{'w': '0.0606', 'd': '0.2326', 'l': '0.7068'}",2018,Serie_A
9642,True,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '2', 'a': '0'}","{'h': '1.0206', 'a': '0.681489'}",2018-09-30 13:00:00,"{'w': '0.4689', 'd': '0.3373', 'l': '0.1938'}",2018,Serie_A
9643,True,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '1', 'a': '2'}","{'h': '1.28871', 'a': '1.08662'}",2018-09-30 13:00:00,"{'w': '0.4026', 'd': '0.3354', 'l': '0.262'}",2018,Serie_A
9645,True,"{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '1', 'a': '0'}","{'h': '0.645086', 'a': '1.44541'}",2018-09-30 16:00:00,"{'w': '0.1515', 'd': '0.274', 'l': '0.5745'}",2018,Serie_A
9639,True,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '1', 'a': '4'}","{'h': '0.704744', 'a': '1.30599'}",2018-09-30 18:30:00,"{'w': '0.1738', 'd': '0.2945', 'l': '0.5317'}",2018,Serie_A
9638,True,"{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'id': '221', 'title': 'SPAL 2013', 'short_title': 'SPL'}","{'h': '2', 'a': '1'}","{'h': '1.66754', 'a': '1.16928'}",2018-10-01 18:30:00,"{'w': '0.4749', 'd': '0.299', 'l': '0.2261'}",2018,Serie_A
9655,True,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'h': '3', 'a': '2'}","{'h': '1.91949', 'a': '1.94032'}",2018-10-05 18:30:00,"{'w': '0.3479', 'd': '0.2915', 'l': '0.3606'}",2018,Serie_A
9648,True,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '2', 'a': '0'}","{'h': '1.90878', 'a': '0.381595'}",2018-10-06 13:00:00,"{'w': '0.8192', 'd': '0.1413', 'l': '0.0395'}",2018,Serie_A
9656,True,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '0', 'a': '2'}","{'h': '0.742797', 'a': '2.8144'}",2018-10-06 16:00:00,"{'w': '0.0304', 'd': '0.0991', 'l': '0.8705'}",2018,Serie_A
9649,True,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '0', 'a': '2'}","{'h': '1.99899', 'a': '0.863839'}",2018-10-06 18:30:00,"{'w': '0.6786', 'd': '0.2189', 'l': '0.1025'}",2018,Serie_A
9650,True,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'h': '1', 'a': '3'}","{'h': '1.53225', 'a': '1.16016'}",2018-10-07 10:30:00,"{'w': '0.446', 'd': '0.276', 'l': '0.278'}",2018,Serie_A
9647,True,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '0', 'a': '1'}","{'h': '2.18092', 'a': '0.438067'}",2018-10-07 13:00:00,"{'w': '0.8353', 'd': '0.1265', 'l': '0.0382'}",2018,Serie_A
9651,True,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '1', 'a': '0'}","{'h': '1.38608', 'a': '1.00701'}",2018-10-07 13:00:00,"{'w': '0.4822', 'd': '0.2915', 'l': '0.2263'}",2018,Serie_A
9652,True,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '3', 'a': '1'}","{'h': '2.55099', 'a': '0.412204'}",2018-10-07 13:00:00,"{'w': '0.8814', 'd': '0.0918', 'l': '0.0268'}",2018,Serie_A
9653,True,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '2', 'a': '0'}","{'h': '1.76818', 'a': '0.926808'}",2018-10-07 16:00:00,"{'w': '0.5853', 'd': '0.2426', 'l': '0.1721'}",2018,Serie_A
9654,True,"{'id': '221', 'title': 'SPAL 2013', 'short_title': 'SPL'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '2'}","{'h': '3.07945', 'a': '1.34105'}",2018-10-07 18:30:00,"{'w': '0.7992', 'd': '0.1274', 'l': '0.0734'}",2018,Serie_A
9663,True,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '221', 'title': 'SPAL 2013', 'short_title': 'SPL'}","{'h': '0', 'a': '2'}","{'h': '1.6265', 'a': '1.89155'}",2018-10-20 13:00:00,"{'w': '0.2938', 'd': '0.2669', 'l': '0.4393'}",2018,Serie_A
9661,True,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '1', 'a': '1'}","{'h': '1.84684', 'a': '0.853192'}",2018-10-20 16:00:00,"{'w': '0.6393', 'd': '0.2389', 'l': '0.1218'}",2018,Serie_A
9665,True,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '0', 'a': '3'}","{'h': '1.72187', 'a': '2.00576'}",2018-10-20 18:30:00,"{'w': '0.2887', 'd': '0.2889', 'l': '0.4224'}",2018,Serie_A
9660,True,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '3', 'a': '3'}","{'h': '1.04742', 'a': '1.19042'}",2018-10-21 10:30:00,"{'w': '0.3013', 'd': '0.338', 'l': '0.3607'}",2018,Serie_A
9657,True,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '2', 'a': '2'}","{'h': '1.49515', 'a': '0.697863'}",2018-10-21 13:00:00,"{'w': '0.6383', 'd': '0.2592', 'l': '0.1025'}",2018,Serie_A
