id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,player_name
656225,88,SavedShot,0.8590000152587891,0.580999984741211,0.08111339807510376,Riccardo Calafiori,h,8129,OpenPlay,2025,RightFoot,28909,Arsenal,Brentford,2,0,2025-12-03 19:30:00,Martin Odegaard,TakeOn,Riccardo Calafiori
666060,79,MissedShots,0.945,0.5,0.12907592952251434,Riccardo Calafiori,a,8129,FromCorner,2025,Head,29015,Leeds,Arsenal,0,4,2026-01-31 15:00:00,Declan Rice,Cross,Riccardo Calafiori
667256,17,MissedShots,0.840999984741211,0.6359999847412109,0.049390263855457306,Riccardo Calafiori,h,8129,OpenPlay,2025,LeftFoot,29019,Arsenal,Sunderland,3,0,2026-02-07 15:00:00,,None,Riccardo Calafiori
674013,7,BlockedShot,0.759000015258789,0.3579999923706055,0.016774294897913933,Riccardo Calafiori,h,8129,OpenPlay,2025,LeftFoot,29068,Arsenal,Everton,2,0,2026-03-14 17:30:00,William Saliba,Pass,Riccardo Calafiori
674014,8,MissedShots,0.855,0.49599998474121093,0.030590172857046127,Riccardo Calafiori,h,8129,FromCorner,2025,LeftFoot,29068,Arsenal,Everton,2,0,2026-03-14 17:30:00,Martín Zubimendi,Chipped,Riccardo Calafiori
674025,37,BlockedShot,0.9680000305175781,0.395,0.01493135467171669,Riccardo Calafiori,h,8129,FromCorner,2025,Head,29068,Arsenal,Everton,2,0,2026-03-14 17:30:00,Bukayo Saka,Aerial,Riccardo Calafiori
674034,59,BlockedShot,0.8030000305175782,0.35400001525878905,0.029600869864225388,Riccardo Calafiori,h,8129,OpenPlay,2025,LeftFoot,29068,Arsenal,Everton,2,0,2026-03-14 17:30:00,Cristhian Mosquera,Pass,Riccardo Calafiori
682472,80,SavedShot,0.955,0.49400001525878906,0.4220552146434784,Riccardo Calafiori,h,8129,FromCorner,2025,Head,29119,Arsenal,Fulham,3,0,2026-05-02 16:30:00,Noni Madueke,Aerial,Riccardo Calafiori
684206,8,BlockedShot,0.914000015258789,0.6619999694824219,0.24929143488407135,Riccardo Calafiori,a,8129,OpenPlay,2025,LeftFoot,29137,West Ham,Arsenal,0,1,2026-05-10 15:30:00,Leandro Trossard,Pass,Riccardo Calafiori
684212,12,MissedShots,0.785,0.5640000152587891,0.0353030189871788,Riccardo Calafiori,a,8129,OpenPlay,2025,LeftFoot,29137,West Ham,Arsenal,0,1,2026-05-10 15:30:00,Viktor Gyokeres,Pass,Riccardo Calafiori
684214,21,BlockedShot,0.950999984741211,0.5790000152587891,0.11873787641525269,Riccardo Calafiori,a,8129,SetPiece,2025,Head,29137,West Ham,Arsenal,0,1,2026-05-10 15:30:00,Declan Rice,Cross,Riccardo Calafiori
