id,isResult,h,a,goals,xG,datetime,forecast,season,league
490,True,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '3', 'a': '1'}","{'h': '3.21624', 'a': '1.08385'}",2016-08-28 19:00:00,"{'w': '0.8305', 'd': '0.1137', 'l': '0.0558'}",2016,EPL
491,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '2'}","{'h': '1.01013', 'a': '1.88688'}",2016-09-10 15:30:00,"{'w': '0.1589', 'd': '0.2351', 'l': '0.606'}",2016,EPL
492,True,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '2'}","{'h': '0.611959', 'a': '1.12437'}",2016-09-10 18:00:00,"{'w': '0.1752', 'd': '0.317', 'l': '0.5078'}",2016,EPL
493,True,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '4'}","{'h': '1.01771', 'a': '2.77025'}",2016-09-10 18:00:00,"{'w': '0.0711', 'd': '0.1311', 'l': '0.7978'}",2016,EPL
494,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '2', 'a': '1'}","{'h': '1.89219', 'a': '1.17522'}",2016-09-10 18:00:00,"{'w': '0.5518', 'd': '0.2623', 'l': '0.1859'}",2016,EPL
495,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '1', 'a': '0'}","{'h': '0.986511', 'a': '1.48347'}",2016-09-10 18:00:00,"{'w': '0.2038', 'd': '0.287', 'l': '0.5092'}",2016,EPL
496,True,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '1', 'a': '1'}","{'h': '0.453149', 'a': '0.907116'}",2016-09-10 18:00:00,"{'w': '0.1647', 'd': '0.3618', 'l': '0.4735'}",2016,EPL
497,True,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '2', 'a': '4'}","{'h': '1.32216', 'a': '1.85479'}",2016-09-10 18:00:00,"{'w': '0.2437', 'd': '0.2487', 'l': '0.5076'}",2016,EPL
498,True,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '4', 'a': '1'}","{'h': '2.76916', 'a': '1.22508'}",2016-09-10 20:30:00,"{'w': '0.7347', 'd': '0.1643', 'l': '0.101'}",2016,EPL
499,True,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '2'}","{'h': '1.2304', 'a': '2.19035'}",2016-09-11 19:00:00,"{'w': '0.1643', 'd': '0.2464', 'l': '0.5893'}",2016,EPL
500,True,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '0', 'a': '3'}","{'h': '1.0404', 'a': '2.84526'}",2016-09-12 23:00:00,"{'w': '0.0753', 'd': '0.141', 'l': '0.7837'}",2016,EPL
501,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '2'}","{'h': '1.16415', 'a': '1.41642'}",2016-09-16 23:00:00,"{'w': '0.272', 'd': '0.3052', 'l': '0.4228'}",2016,EPL
502,True,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '1', 'a': '4'}","{'h': '0.969693', 'a': '3.63453'}",2016-09-17 18:00:00,"{'w': '0.0142', 'd': '0.0649', 'l': '0.9209'}",2016,EPL
