id,isResult,h,a,goals,xG,datetime,forecast,season,league
6119,True,"{'id': '209', 'title': 'Evian Thonon Gaillard', 'short_title': 'EVI'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '3', 'a': '0'}","{'h': '1.25083', 'a': '0.334334'}",2014-10-04 19:00:00,"{'w': '0.6815', 'd': '0.2492', 'l': '0.0693'}",2014,Ligue_1
6120,True,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '0', 'a': '1'}","{'h': '1.29929', 'a': '0.821394'}",2014-10-05 13:00:00,"{'w': '0.4854', 'd': '0.3161', 'l': '0.1985'}",2014,Ligue_1
6121,True,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '0', 'a': '1'}","{'h': '0.909291', 'a': '0.720094'}",2014-10-05 16:00:00,"{'w': '0.3922', 'd': '0.3624', 'l': '0.2454'}",2014,Ligue_1
6122,True,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '3', 'a': '0'}","{'h': '2.33678', 'a': '0.368029'}",2014-10-05 16:00:00,"{'w': '0.9036', 'd': '0.0793', 'l': '0.0171'}",2014,Ligue_1
6123,True,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '1', 'a': '1'}","{'h': '1.23205', 'a': '1.28795'}",2014-10-05 20:00:00,"{'w': '0.3289', 'd': '0.3086', 'l': '0.3625'}",2014,Ligue_1
6124,True,"{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '3'}","{'h': '0.887858', 'a': '2.32314'}",2014-10-17 19:30:00,"{'w': '0.0832', 'd': '0.1711', 'l': '0.7457'}",2014,Ligue_1
6125,True,"{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '0', 'a': '1'}","{'h': '0.179886', 'a': '1.46047'}",2014-10-18 16:00:00,"{'w': '0.0349', 'd': '0.2047', 'l': '0.7604'}",2014,Ligue_1
6126,True,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'h': '1', 'a': '2'}","{'h': '1.90889', 'a': '1.14653'}",2014-10-18 19:00:00,"{'w': '0.5593', 'd': '0.2446', 'l': '0.1961'}",2014,Ligue_1
6127,True,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '0', 'a': '0'}","{'h': '0.343316', 'a': '0.676471'}",2014-10-18 19:00:00,"{'w': '0.1619', 'd': '0.4416', 'l': '0.3965'}",2014,Ligue_1
6128,True,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '209', 'title': 'Evian Thonon Gaillard', 'short_title': 'EVI'}","{'h': '2', 'a': '0'}","{'h': '2.44399', 'a': '1.3361'}",2014-10-18 19:00:00,"{'w': '0.6729', 'd': '0.201', 'l': '0.1261'}",2014,Ligue_1
6129,True,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '1', 'a': '1'}","{'h': '0.36688', 'a': '1.07275'}",2014-10-18 19:00:00,"{'w': '0.1086', 'd': '0.3217', 'l': '0.5697'}",2014,Ligue_1
6130,True,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '0', 'a': '1'}","{'h': '0.814842', 'a': '0.15312'}",2014-10-18 19:00:00,"{'w': '0.5207', 'd': '0.4169', 'l': '0.0624'}",2014,Ligue_1
6131,True,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '2', 'a': '0'}","{'h': '1.15665', 'a': '0.242119'}",2014-10-19 13:00:00,"{'w': '0.6332', 'd': '0.2944', 'l': '0.0724'}",2014,Ligue_1
6132,True,"{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '1', 'a': '1'}","{'h': '1.38912', 'a': '0.602559'}",2014-10-19 16:00:00,"{'w': '0.6152', 'd': '0.2666', 'l': '0.1182'}",2014,Ligue_1
6133,True,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '5', 'a': '1'}","{'h': '2.47834', 'a': '1.23199'}",2014-10-19 20:00:00,"{'w': '0.6752', 'd': '0.2001', 'l': '0.1247'}",2014,Ligue_1
6134,True,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'h': '0', 'a': '2'}","{'h': '0.868458', 'a': '1.22242'}",2014-10-24 19:30:00,"{'w': '0.2395', 'd': '0.3016', 'l': '0.4589'}",2014,Ligue_1
6135,True,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '176', 'title': 'Bordeaux', 'short_title': 'BOR'}","{'h': '3', 'a': '0'}","{'h': '2.26339', 'a': '0.451124'}",2014-10-25 16:00:00,"{'w': '0.8777', 'd': '0.0978', 'l': '0.0245'}",2014,Ligue_1
6136,True,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '1', 'a': '0'}","{'h': '0.716961', 'a': '0.705528'}",2014-10-25 19:00:00,"{'w': '0.3107', 'd': '0.3828', 'l': '0.3065'}",2014,Ligue_1
6137,True,"{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '1', 'a': '3'}","{'h': '0.983475', 'a': '2.2563'}",2014-10-25 19:00:00,"{'w': '0.1116', 'd': '0.1893', 'l': '0.6991'}",2014,Ligue_1
6138,True,"{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '2', 'a': '1'}","{'h': '2.02942', 'a': '1.13471'}",2014-10-25 19:00:00,"{'w': '0.6156', 'd': '0.2555', 'l': '0.1289'}",2014,Ligue_1
6139,True,"{'id': '209', 'title': 'Evian Thonon Gaillard', 'short_title': 'EVI'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '0', 'a': '2'}","{'h': '0.258938', 'a': '2.12732'}",2014-10-25 19:00:00,"{'w': '0.0163', 'd': '0.0918', 'l': '0.8919'}",2014,Ligue_1
6140,True,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '2', 'a': '0'}","{'h': '2.16826', 'a': '0.387805'}",2014-10-26 13:00:00,"{'w': '0.8329', 'd': '0.1292', 'l': '0.0379'}",2014,Ligue_1
6141,True,"{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '1', 'a': '0'}","{'h': '1.08553', 'a': '0.3693'}",2014-10-26 16:00:00,"{'w': '0.574', 'd': '0.3178', 'l': '0.1082'}",2014,Ligue_1
6142,True,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '2', 'a': '7'}","{'h': '2.11355', 'a': '3.68156'}",2014-10-26 16:00:00,"{'w': '0.138', 'd': '0.1495', 'l': '0.7125'}",2014,Ligue_1
6143,True,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '1', 'a': '0'}","{'h': '0.780099', 'a': '1.13587'}",2014-10-26 20:00:00,"{'w': '0.2253', 'd': '0.3211', 'l': '0.4536'}",2014,Ligue_1
6144,True,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '1', 'a': '1'}","{'h': '1.32581', 'a': '0.861794'}",2014-10-31 19:30:00,"{'w': '0.4512', 'd': '0.3285', 'l': '0.2203'}",2014,Ligue_1
6076,True,"{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '2'}","{'h': '1.17192', 'a': '1.72464'}",2014-11-01 16:00:00,"{'w': '0.1905', 'd': '0.2809', 'l': '0.5286'}",2014,Ligue_1
6077,True,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '165', 'title': 'Caen', 'short_title': 'CAE'}","{'h': '3', 'a': '2'}","{'h': '2.32422', 'a': '0.791375'}",2014-11-01 19:00:00,"{'w': '0.7774', 'd': '0.1527', 'l': '0.0699'}",2014,Ligue_1
6078,True,"{'id': '169', 'title': 'Guingamp', 'short_title': 'GUI'}","{'id': '162', 'title': 'SC Bastia', 'short_title': 'BAS'}","{'h': '1', 'a': '0'}","{'h': '0.67025', 'a': '0.427032'}",2014-11-01 19:00:00,"{'w': '0.3597', 'd': '0.4329', 'l': '0.2074'}",2014,Ligue_1
6079,True,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '1', 'a': '1'}","{'h': '1.57174', 'a': '1.51419'}",2014-11-01 19:00:00,"{'w': '0.3527', 'd': '0.3162', 'l': '0.3311'}",2014,Ligue_1
6080,True,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '209', 'title': 'Evian Thonon Gaillard', 'short_title': 'EVI'}","{'h': '2', 'a': '0'}","{'h': '2.13023', 'a': '0.196777'}",2014-11-01 19:00:00,"{'w': '0.8855', 'd': '0.0973', 'l': '0.0172'}",2014,Ligue_1
6081,True,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '3'}","{'h': '1.39284', 'a': '1.8591'}",2014-11-01 19:00:00,"{'w': '0.2459', 'd': '0.2735', 'l': '0.4806'}",2014,Ligue_1
